id,company,title,location,url,source,posted_date,first_seen,category
1365,Databricks,Sr. Solutions Engineer - Digital Native Business (Strategic Accounts),Remote - California; Remote - Colorado; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8756686002,greenhouse,2026-09-18,2026-09-19T13:31:12.517202,remote
1353,Databricks,"Sr. Solutions Architect - Retail, Travel & Hospitality","Charlotte, North Carolina; Raleigh, North Carolina; Remote - North Carolina",https://databricks.com/company/careers/open-positions/job?gh_jid=8607059002,greenhouse,2026-09-02,2026-09-19T13:31:12.471894,remote
1342,Databricks,Sr. Solutions Architect - Global Telecommunications,Remote - Georgia,https://databricks.com/company/careers/open-positions/job?gh_jid=8476403002,greenhouse,2026-09-02,2026-09-19T13:31:12.433844,remote
1336,Databricks,"Sr. Solutions Architect - Digital Native Business, Strategics",Nevada; Remote - California; Remote - Colorado; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8615045002,greenhouse,2026-09-02,2026-09-19T13:31:12.412857,remote
1335,Databricks,Sr. Solutions Architect - Digital Native Business (Strategic Accounts),Nevada; Remote - Arizona; Remote - California; Remote - Colorado; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8567963002,greenhouse,2026-09-17,2026-09-19T13:31:12.409857,remote
1326,Databricks,Sr. Solutions Architect,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8417656002,greenhouse,2026-09-02,2026-09-19T13:31:12.379047,remote
1315,Databricks,Sr. Solutions Architect,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8567987002,greenhouse,2026-09-17,2026-09-19T13:31:12.338384,remote
1268,Databricks,"Sr. Manager, Field Engineering - Digital Native Business",Colorado; Remote - California; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8496009002,greenhouse,2026-09-02,2026-09-19T13:31:12.154784,remote
1242,Databricks,Sr. Forward Deployed Engineer (FDE) - Retail,Remote - California,https://databricks.com/company/careers/open-positions/job?gh_jid=8647677002,greenhouse,2026-09-04,2026-09-19T13:31:12.065585,remote
1239,Databricks,Sr. Forward Deployed Engineer (FDE) - Public Sector,Remote - Virginia; Remote - Washington D.C.,https://databricks.com/company/careers/open-positions/job?gh_jid=8657488002,greenhouse,2026-09-18,2026-09-19T13:31:12.056075,remote
1212,Databricks,Sr. Forward Deployed Engineer (FDE) - Digital Native Business,Remote - California,https://databricks.com/company/careers/open-positions/job?gh_jid=8807033002,greenhouse,2026-09-14,2026-09-19T13:31:11.949030,remote
1189,Databricks,Sr. Forward Deployed Engineer,Remote - Washington D.C.,https://databricks.com/company/careers/open-positions/job?gh_jid=8739465002,greenhouse,2026-09-02,2026-09-19T13:31:11.871326,remote
1135,Databricks,Solutions Architect - Public Sector (SLED),Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8633741002,greenhouse,2026-09-15,2026-09-19T13:31:11.693957,remote
1113,Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Remote - Illinois,https://databricks.com/company/careers/open-positions/job?gh_jid=8085877002,greenhouse,2026-09-15,2026-09-19T13:31:11.625273,remote
1112,Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Remote - California,https://databricks.com/company/careers/open-positions/job?gh_jid=8231231002,greenhouse,2026-09-15,2026-09-19T13:31:11.622280,remote
1111,Databricks,Solutions Architect - Global Telecommunications,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8755470002,greenhouse,2026-09-02,2026-09-19T13:31:11.619273,remote
1104,Databricks,"Solutions Architect - Digital Native Business, Named Accounts",Nevada; Remote - California; Remote - Colorado; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8569640002,greenhouse,2026-09-10,2026-09-19T13:31:11.585173,remote
1092,Databricks,"Solutions Architect - Communications, Media, Entertainment and Games",Remote - Pennsylvania,https://databricks.com/company/careers/open-positions/job?gh_jid=8755482002,greenhouse,2026-09-02,2026-09-19T13:31:11.548508,remote
913,Databricks,Principal Security Field Engineer,Remote - California,https://databricks.com/company/careers/open-positions/job?gh_jid=8612863002,greenhouse,2026-09-02,2026-09-19T13:31:10.961933,remote
880,Databricks,"Manager, Forward Deployed Engineering - CMEG",Remote - Washington D.C.,https://databricks.com/company/careers/open-positions/job?gh_jid=8585019002,greenhouse,2026-09-02,2026-09-19T13:31:10.842484,remote
874,Databricks,"Manager, Field Engineering - Strategic Digital Native Business",Remote - California; Remote - Colorado; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8458032002,greenhouse,2026-09-02,2026-09-19T13:31:10.821141,remote
